SN	NW	WORD	word_len
1	1	Presents	8
1	2	a	1
1	3	good	4
1	4	case	4
1	5	while	5
1	6	failing	7
1	7	to	2
1	8	provide	7
1	9	a	1
1	10	reason	6
1	11	for	3
1	12	us	2
1	13	to	2
1	14	care	4
1	15	beyond	6
1	16	the	3
1	17	very	4
1	18	basic	5
1	19	dictums	7
1	20	of	2
1	21	human	5
1	22	decency.	8
2	1	Beautifully	11
2	2	crafted,	8
2	3	engaging	8
2	4	filmmaking	10
2	5	that	4
2	6	should	6
2	7	attract	7
2	8	upscale	7
2	9	audiences	9
2	10	hungry	6
2	11	for	3
2	12	quality	7
2	13	and	3
2	14	a	1
2	15	nostalgic,	10
2	16	twisty	6
2	17	yarn	4
2	18	that	4
2	19	will	4
2	20	keep	4
2	21	them	4
2	22	guessing.	9
3	1	Bread,	6
3	2	My	2
3	3	Sweet	5
3	4	has	3
3	5	so	2
3	6	many	4
3	7	flaws	5
3	8	it	2
3	9	would	5
3	10	be	2
3	11	easy	4
3	12	for	3
3	13	critics	7
3	14	to	2
3	15	shred	5
3	16	it.	3
4	1	Slow,	5
4	2	silly	5
4	3	and	3
4	4	unintentionally	15
4	5	hilarious.	10
5	1	Ultimately	10
5	2	feels	5
5	3	emp11111ty	10
5	4	and	3
5	5	unsatisfying,	13
5	6	like	4
5	7	swallowing	10
5	8	a	1
5	9	Communion	9
5	10	wafer	5
5	11	without	7
5	12	the	3
5	13	wine.	5
6	1	Exudes	6
6	2	the	3
6	3	fizz	4
6	4	of	2
6	5	a	1
6	6	Busby	5
6	7	Berkeley	8
6	8	musical	7
6	9	and	3
6	10	the	3
6	11	visceral	8
6	12	excitement	10
6	13	of	2
6	14	a	1
6	15	sports	6
6	16	extravaganza.	13
7	1	The	3
7	2	film	4
7	3	rehashes	8
7	4	several	7
7	5	old	3
7	6	themes	6
7	7	and	3
7	8	is	2
7	9	capped	6
7	10	with	4
7	11	pointless	9
7	12	extremes	8
7	13	--	2
7	14	it's	4
7	15	insanely	8
7	16	violent	7
7	17	and	3
7	18	very	4
7	19	graphic.	8
8	1	Ryan	4
8	2	Gosling	7
8	3	is,	3
8	4	in	2
8	5	a	1
8	6	word,	5
8	7	brilliant	9
8	8	as	2
8	9	the	3
8	10	conflicted	10
8	11	Daniel.	7
9	1	If	2
9	2	Deuces	6
9	3	Wild	4
9	4	had	3
9	5	been	4
9	6	tweaked	7
9	7	up	2
9	8	a	1
9	9	notch	5
9	10	it	2
9	11	would	5
9	12	have	4
9	13	become	6
9	14	a	1
9	15	camp	4
9	16	adventure,	10
9	17	one	3
9	18	of	2
9	19	those	5
9	20	movies	6
9	21	that's	6
9	22	so	2
9	23	bad	3
9	24	it	2
9	25	starts	6
9	26	to	2
9	27	become	6
9	28	good.	5
10	1	The	3
10	2	film's	6
10	3	stagecrafts	11
10	4	are	3
10	5	intimate	8
10	6	and	3
10	7	therefore	9
10	8	bolder	6
10	9	than	4
10	10	the	3
10	11	otherwise	9
10	12	calculated	10
10	13	artifice	8
10	14	that	4
10	15	defines	7
10	16	and	3
10	17	overwhelms	10
10	18	the	3
10	19	film's	6
10	20	production	10
10	21	design.	7
11	1	Frida	5
11	2	is	2
11	3	certainly	9
11	4	no	2
11	5	disaster,	9
11	6	but	3
11	7	neither	7
11	8	is	2
11	9	it	2
11	10	the	3
11	11	Kahlo	5
11	12	movie	5
11	13	Frida	5
11	14	fans	4
11	15	have	4
11	16	been	4
11	17	looking	7
11	18	for.	4
12	1	The	3
12	2	film	4
12	3	often	5
12	4	achieves	8
12	5	a	1
12	6	mesmerizing	11
12	7	poetry.	7
13	1	A	1
13	2	work	4
13	3	of	2
13	4	astonishing	11
13	5	delicacy	8
13	6	and	3
13	7	force.	6
14	1	The	3
14	2	movie's	7
14	3	plot	4
14	4	is	2
14	5	almost	6
14	6	entirely	8
14	7	witless	7
14	8	and	3
14	9	inane,	6
14	10	carrying	8
14	11	every	5
14	12	gag	3
14	13	two	3
14	14	or	2
14	15	three	5
14	16	times	5
14	17	beyond	6
14	18	its	3
14	19	limit	5
14	20	to	2
14	21	sustain	7
14	22	a	1
14	23	laugh.	6
15	1	For	3
15	2	the	3
15	3	most	4
15	4	part,	5
15	5	the	3
15	6	ingredients	11
15	7	are	3
15	8	there.	6
16	1	But	3
16	2	if	2
16	3	you've	6
16	4	paid	4
16	5	a	1
16	6	matinee	7
16	7	price	5
16	8	and	3
16	9	bought	6
16	10	a	1
16	11	big	3
16	12	tub	3
16	13	of	2
16	14	popcorn,	8
16	15	there's	7
16	16	guilty	6
16	17	fun	3
16	18	to	2
16	19	be	2
16	20	had	3
16	21	here.	5
17	1	There's	7
17	2	not	3
17	3	much	4
17	4	to	2
17	5	Fatale,	7
17	6	outside	7
17	7	of	2
17	8	its	3
17	9	stylish	7
17	10	surprises...	12
17	11	but	3
17	12	that's	6
17	13	OK.	3
18	1	The	3
18	2	acting	6
18	3	is	2
18	4	stiff,	6
18	5	the	3
18	6	story	5
18	7	lacks	5
18	8	all	3
18	9	trace	5
18	10	of	2
18	11	wit,	4
18	12	the	3
18	13	sets	4
18	14	look	4
18	15	like	4
18	16	they	4
18	17	were	4
18	18	borrowed	8
18	19	from	4
18	20	Gilligan's	10
18	21	Island	6
18	22	--	2
18	23	and	3
18	24	the	3
18	25	CGI	3
18	26	Scooby	6
18	27	might	5
18	28	well	4
18	29	be	2
18	30	the	3
18	31	worst	5
18	32	special-effects	15
18	33	creation	8
18	34	of	2
18	35	the	3
18	36	year.	5
19	1	This	4
19	2	version	7
19	3	moves	5
19	4	beyond	6
19	5	the	3
19	6	original's	10
19	7	nostalgia	9
19	8	for	3
19	9	the	3
19	10	communal	8
19	11	film	4
19	12	experiences	11
19	13	of	2
19	14	yesteryear	10
19	15	to	2
19	16	a	1
19	17	deeper	6
19	18	realization	11
19	19	of	2
19	20	cinema's	8
19	21	inability	9
19	22	to	2
19	23	stand	5
19	24	in	2
19	25	for	3
19	26	true,	5
19	27	lived	5
19	28	experience.	11
20	1	There's	7
20	2	no	2
20	3	palpable	8
20	4	chemistry	9
20	5	between	7
20	6	Lopez	5
20	7	and	3
20	8	male	4
20	9	lead	4
20	10	Ralph	5
20	11	Fiennes,	8
20	12	plus	4
20	13	the	3
20	14	script	6
20	15	by	2
20	16	Working	7
20	17	Girl	4
20	18	scribe	6
20	19	Kevin	5
20	20	Wade	4
20	21	is	2
20	22	workmanlike	11
20	23	in	2
20	24	the	3
20	25	extreme.	8
21	1	A	1
21	2	first-class,	12
21	3	thoroughly	10
21	4	involving	9
21	5	B	1
21	6	movie	5
21	7	that	4
21	8	effectively	11
21	9	combines	8
21	10	two	3
21	11	surefire,	9
21	12	beloved	7
21	13	genres	6
21	14	--	2
21	15	the	3
21	16	prison	6
21	17	flick	5
21	18	and	3
21	19	the	3
21	20	fight	5
21	21	film.	5
22	1	The	3
22	2	film	4
22	3	is	2
22	4	so	2
22	5	bad	3
22	6	it	2
22	7	doesn't	7
22	8	improve	7
22	9	upon	4
22	10	the	3
22	11	experience	10
22	12	of	2
22	13	staring	7
22	14	at	2
22	15	a	1
22	16	blank	5
22	17	screen.	7
